epoch,train_loss,val_acc,val_uar,val_f1
1,1.9540823723958887,0.18295739348370926,0.18295739348370926,0.10983125923636781
2,1.864189784164014,0.39348370927318294,0.39348370927318294,0.3134023769896089
3,1.7092386691466621,0.43107769423558895,0.4310776942355889,0.36407986104620443
4,1.5061974849389947,0.5588972431077694,0.5588972431077693,0.49121030982556463
5,1.2801964425522347,0.6240601503759399,0.6240601503759399,0.5786496814843484
6,1.0358846841946892,0.6541353383458647,0.6541353383458646,0.6329177856690071
7,0.8512188047170639,0.7869674185463659,0.7869674185463659,0.7508303854884801
8,0.6988532543182373,0.8320802005012531,0.8320802005012532,0.7892879698532685
9,0.5390665871293648,0.849624060150376,0.849624060150376,0.7975510437181762
10,0.4351410590436148,0.8796992481203008,0.8796992481203008,0.8461840753582784
11,0.35456929161496786,0.9473684210526315,0.9473684210526316,0.9438824696693715
12,0.2942024628105371,0.9573934837092731,0.9573934837092732,0.9552316811216816
13,0.26029830636537593,0.9874686716791979,0.9874686716791979,0.9875031246938816
14,0.23711025925434154,0.9899749373433584,0.9899749373433584,0.9898999551173464
15,0.2200946653990642,0.9924812030075187,0.9924812030075189,0.992481010143674
16,0.21444894616370616,0.9899749373433584,0.9899749373433584,0.9899963452301395
17,0.21108320031477057,0.9949874686716792,0.9949874686716792,0.9949870829439895
18,0.20662888155683226,0.9974937343358395,0.9974937343358395,0.9974935414719948
19,0.20055406815979793,0.9974937343358395,0.9974937343358395,0.9974935414719948
20,0.20377161920718526,0.9598997493734336,0.9598997493734335,0.9596796621867664
21,0.204068456331025,0.9899749373433584,0.9899749373433584,0.9899519762138266
22,0.19902448923043584,0.9949874686716792,0.9949874686716792,0.9949870829439895
23,0.20078679611501488,0.9849624060150376,0.9849624060150374,0.9850192415677187
