,anger,disgust,fear,happiness,neutral,sadness,surprise
anger,61,10,0,13,50,5,15
disgust,2,17,0,1,25,3,2
fear,3,0,16,1,7,4,1
happiness,5,4,0,1429,470,4,30
neutral,89,46,17,1571,10868,185,168
sadness,2,1,0,7,73,83,4
surprise,6,2,3,18,63,4,193
