Epoch,Train_Loss,Val_Loss,Val_Accuracy,Val_UAR,Val_Macro_F1
1,1.3416462922873704,1.4218820071220397,63.40852130325815,63.40852130325815,59.67046481703965
2,0.4972834464000619,1.2206070828437805,58.1453634085213,58.14536340852129,51.59987652396981
3,0.25275228609857353,0.513939517736435,84.46115288220551,84.46115288220551,80.95099325815492
4,0.21489196999565416,0.3453528642654419,92.73182957393483,92.73182957393485,92.77701835716506
5,0.19417170014070428,0.1910768359899521,99.49874686716792,99.49874686716792,99.49859254046444
6,0.1841746447202952,0.20253077447414397,98.74686716791979,98.7468671679198,98.73934965893412
7,0.18000297928633896,0.30749121189117434,94.23558897243107,94.23558897243106,94.1672818401037
8,0.17733053393338039,0.17437673807144166,100.0,100.0,100.0
9,0.17530718818306923,0.19510477542877197,98.99749373433583,98.99749373433583,98.9973008348634
10,0.17504819077642067,0.1869523346424103,98.99749373433583,98.99749373433583,98.99695339479872
11,0.1751389268623746,0.1773533880710602,99.49874686716792,99.49874686716792,99.49859254046444
12,0.17382975165610728,0.19163716495037078,99.24812030075188,99.24812030075188,99.24759924759925
13,0.17284161014401395,0.1850067764520645,99.24812030075188,99.24812030075188,99.24759924759925
14,0.1730318786981313,0.18264971375465394,99.24812030075188,99.24812030075188,99.24759924759925
15,0.17271419015267622,0.17700726568698882,99.49874686716792,99.49874686716792,99.49859254046444
