,anger,disgust,fear,happiness,neutral,sadness,surprise
anger,91,37,5,0,0,0,0
disgust,85,43,5,0,0,0,0
fear,90,38,5,0,0,0,0
happiness,85,43,5,0,0,0,0
neutral,88,40,5,0,0,0,0
sadness,88,40,5,0,0,0,0
surprise,86,40,7,0,0,0,0
