Epoch,Train_Loss,Val_Accuracy,Val_UAR,Val_Macro_F1
1,1.952836767486904,14.285714285714285,14.285714285714285,3.571428571428571
2,1.9543465699838556,15.037593984962406,15.037593984962406,5.953401437272405
3,1.9522143330263055,14.285714285714285,14.285714285714285,3.595080416272469
4,1.9522132186785988,14.285714285714285,14.285714285714285,3.635204081632653
5,1.9492931936098181,12.781954887218044,12.781954887218044,6.181356298187453
6,1.948643526305323,14.285714285714285,14.285714285714285,3.571428571428571
7,1.948593558176704,14.285714285714285,14.285714285714285,3.571428571428571
8,1.9470332679541216,14.285714285714285,14.285714285714285,3.571428571428571
9,1.9503391255503115,14.536340852130325,14.536340852130328,4.071423238152127
10,1.948984751234884,14.285714285714285,14.285714285714285,3.571428571428571
