Epoch,Train_Loss,Val_Accuracy,Val_UAR,Val_Macro_F1
1,1.9386783768148983,5.88235294117647,5.88235294117647,3.9680745107539903
2,1.8840575662313723,29.971988795518207,29.9719887955182,17.06304702566385
3,1.6587719005696915,48.17927170868347,48.179271708683466,44.17684276628301
4,1.3563029929703356,57.14285714285714,57.14285714285714,56.30561141085242
5,1.0338349657900192,72.26890756302521,72.26890756302521,69.84264665580419
6,0.7894445727853214,81.79271708683473,81.79271708683473,81.39055228994432
7,0.6700264647895214,86.27450980392157,86.27450980392156,85.76989665506709
8,0.537334611602858,87.11484593837535,87.11484593837534,86.14109365648818
9,0.47509101851313723,89.6358543417367,89.6358543417367,89.38776378340376
10,0.43304646774834277,92.99719887955182,92.99719887955182,92.72846504564838
11,0.39919333598193,92.71708683473389,92.71708683473389,92.59983842454858
12,0.3723333279291789,93.55742296918767,93.55742296918767,93.41951427689723
13,0.3625651218143164,96.9187675070028,96.91876750700281,96.94266643028452
14,0.3361232035300311,96.9187675070028,96.91876750700281,96.92465293686095
15,0.3317720545273201,97.47899159663865,97.47899159663866,97.5033789093195
16,0.3156072278233135,98.0392156862745,98.03921568627452,98.06047749658836
17,0.3020850498886669,99.15966386554622,99.15966386554622,99.16467973327944
18,0.2878871796762242,99.15966386554622,99.15966386554622,99.16467973327944
19,0.2786472723180172,98.8795518207283,98.8795518207283,98.88948787061994
20,0.2833786939873415,99.43977591036415,99.43977591036415,99.43956043956044
21,0.2635934054851532,99.15966386554622,99.15966386554622,99.16227724905652
22,0.2601757388488919,98.31932773109243,98.31932773109244,98.3242628205757
23,0.26614755333638657,98.8795518207283,98.8795518207283,98.88171190806419
24,0.26117143268678705,99.43977591036415,99.43977591036415,99.43956043956044
25,0.24775245990238937,99.15966386554622,99.15966386554622,99.1622503229732
26,0.24445302638353086,99.15966386554622,99.15966386554622,99.1622503229732
27,0.24622047093569063,99.71988795518207,99.71988795518207,99.71986102909875
28,0.24309410768396714,99.43977591036415,99.43977591036415,99.44238929387444
29,0.24174241984591766,99.43977591036415,99.43977591036415,99.44238929387444
30,0.23595422798512028,99.71988795518207,99.71988795518207,99.71986102909875
