,anger,disgust,fear,happiness,neutral,sadness,surprise
anger,128,1,0,2,0,0,2
disgust,0,129,0,0,0,0,4
fear,0,0,130,3,0,0,0
happiness,0,0,1,132,0,0,0
neutral,0,0,0,0,133,0,0
sadness,0,0,0,0,0,133,0
surprise,0,0,0,0,0,0,133
