,anger,disgust,fear,happiness,neutral,sadness,surprise
anger,120,0,0,0,0,0,0
disgust,0,120,0,0,0,0,0
fear,0,0,120,0,0,0,0
happiness,0,0,0,121,0,0,0
neutral,0,0,0,0,121,0,0
sadness,0,0,0,0,0,120,0
surprise,0,0,0,1,0,0,120
