,anger,disgust,fear,happiness,neutral,sadness,surprise
anger,59,12,0,14,51,4,14
disgust,3,24,0,2,18,3,0
fear,2,0,13,0,13,4,0
happiness,13,5,2,1566,318,1,37
neutral,93,69,21,2112,10082,277,290
sadness,3,2,1,8,50,97,9
surprise,10,3,3,18,42,3,210
